調査年 コード,調査年,地域 コード,地域,総面積,耕地面積
2021100000,2021年度,7208,福島県 喜多方市,55463,8120
2021100000,2021年度,7209,福島県 相馬市,19779,3340
2021100000,2021年度,7210,福島県 二本松市,34442,5340
2021100000,2021年度,7211,福島県 田村市,45833,5430
2021100000,2021年度,7212,福島県 南相馬市,39858,6790
2021100000,2021年度,7213,福島県 伊達市,26512,3990
2021100000,2021年度,7214,福島県 本宮市,8802,2110
2021100000,2021年度,7301,福島県 桑折町,4297,997
2021100000,2021年度,7303,福島県 国見町,3795,1090
2021100000,2021年度,7308,福島県 川俣町,12770,1140
2021100000,2021年度,7322,福島県 大玉村,7944,1610
2021100000,2021年度,7342,福島県 鏡石町,3130,1310
2021100000,2021年度,7344,福島県 天栄村,22552,1210
2021100000,2021年度,7362,福島県 下郷町,31704,1110
2021100000,2021年度,7364,福島県 檜枝岐村,39046,9
2021100000,2021年度,7367,福島県 只見町,74756,613
2021100000,2021年度,7368,福島県 南会津町,88647,2000
2021100000,2021年度,7402,福島県 北塩原村,23408,433
2021100000,2021年度,7405,福島県 西会津町,29818,1200
2021100000,2021年度,7407,福島県 磐梯町,5977,741
2021100000,2021年度,7408,福島県 猪苗代町,39485,3240
2021100000,2021年度,7421,福島県 会津坂下町,9159,3470
2021100000,2021年度,7422,福島県 湯川村,1637,1090
2021100000,2021年度,7423,福島県 柳津町,17582,588
2021100000,2021年度,7444,福島県 三島町,9081,149
2021100000,2021年度,7445,福島県 金山町,29392,302
2021100000,2021年度,7446,福島県 昭和村,20946,413
2021100000,2021年度,7447,福島県 会津美里町,27633,4140
2021100000,2021年度,7461,福島県 西郷村,19206,1950
2021100000,2021年度,7464,福島県 泉崎村,3543,1160
2021100000,2021年度,7465,福島県 中島村,1892,930
2021100000,2021年度,7466,福島県 矢吹町,6040,2260
2021100000,2021年度,7481,福島県 棚倉町,15993,1380
2021100000,2021年度,7482,福島県 矢祭町,11827,741
2021100000,2021年度,7483,福島県 塙町,21141,1330
2021100000,2021年度,7484,福島県 鮫川村,13134,1170
2021100000,2021年度,7501,福島県 石川町,11571,1970
2021100000,2021年度,7502,福島県 玉川村,4667,749
2021100000,2021年度,7503,福島県 平田村,9342,1400
2021100000,2021年度,7504,福島県 浅川町,3743,838
2021100000,2021年度,7505,福島県 古殿町,16329,758
2021100000,2021年度,7521,福島県 三春町,7276,1060
2021100000,2021年度,7522,福島県 小野町,12518,1350
2021100000,2021年度,7541,福島県 広野町,5869,278
2021100000,2021年度,7542,福島県 楢葉町,10364,649
2021100000,2021年度,7543,福島県 富岡町,6839,908
2021100000,2021年度,7544,福島県 川内村,19735,854
2021100000,2021年度,7545,福島県 大熊町,7871,1080
2021100000,2021年度,7546,福島県 双葉町,5142,703
2021100000,2021年度,7547,福島県 浪江町,22314,2380
2021100000,2021年度,7548,福島県 葛尾村,8437,589
2021100000,2021年度,7561,福島県 新地町,4670,1190
2021100000,2021年度,7564,福島県 飯舘村,23013,2210
2021100000,2021年度,8201,茨城県 水戸市,21732,6280
2021100000,2021年度,8202,茨城県 日立市,22571,880
2021100000,2021年度,8203,茨城県 土浦市,12289,2960
2021100000,2021年度,8204,茨城県 古河市,12358,4830
2021100000,2021年度,8205,茨城県 石岡市,21553,6200
2021100000,2021年度,8207,茨城県 結城市,6576,3330
2021100000,2021年度,8208,茨城県 龍ケ崎市,7859,2630
2021100000,2021年度,8210,茨城県 下妻市,8088,4000
2021100000,2021年度,8211,茨城県 常総市,12364,5800
2021100000,2021年度,8212,茨城県 常陸太田市,37199,4770
2021100000,2021年度,8214,茨城県 高萩市,19356,673
2021100000,2021年度,8215,茨城県 北茨城市,18679,1280
2021100000,2021年度,8216,茨城県 笠間市,24040,5010
2021100000,2021年度,8217,茨城県 取手市,6994,2180
2021100000,2021年度,8219,茨城県 牛久市,5892,1320
2021100000,2021年度,8220,茨城県 つくば市,28372,10000
2021100000,2021年度,8221,茨城県 ひたちなか市,9997,2400
2021100000,2021年度,8222,茨城県 鹿嶋市,10604,2060
2021100000,2021年度,8223,茨城県 潮来市,7140,2070
2021100000,2021年度,8224,茨城県 守谷市,3571,668
2021100000,2021年度,8225,茨城県 常陸大宮市,34845,3590
2021100000,2021年度,8226,茨城県 那珂市,9782,4100
2021100000,2021年度,8227,茨城県 筑西市,20530,11200
2021100000,2021年度,8228,茨城県 坂東市,12303,5530
2021100000,2021年度,8229,茨城県 稲敷市,20581,8570
2021100000,2021年度,8230,茨城県 かすみがうら市,15660,4380
2021100000,2021年度,8231,茨城県 桜川市,18006,5170
2021100000,2021年度,8232,茨城県 神栖市,14697,2520
2021100000,2021年度,8233,茨城県 行方市,22248,6410
2021100000,2021年度,8234,茨城県 鉾田市,20760,8540
2021100000,2021年度,8235,茨城県 つくばみらい市,7916,3480
2021100000,2021年度,8236,茨城県 小美玉市,14474,5300
2021100000,2021年度,8302,茨城県 茨城町,12158,4980
2021100000,2021年度,8309,茨城県 大洗町,2389,514
2021100000,2021年度,8310,茨城県 城里町,16180,2400
2021100000,2021年度,8341,茨城県 東海村,3800,923
2021100000,2021年度,8364,茨城県 大子町,32576,1930
2021100000,2021年度,8442,茨城県 美浦村,6661,1110
2021100000,2021年度,8443,茨城県 阿見町,7140,1760
2021100000,2021年度,8447,茨城県 河内町,4430,2810
2021100000,2021年度,8521,茨城県 八千代町,5899,3520
2021100000,2021年度,8542,茨城県 五霞町,2311,914
2021100000,2021年度,8546,茨城県 境町,4659,2180
2021100000,2021年度,8564,茨城県 利根町,2486,1190
2021100000,2021年度,9201,栃木県 宇都宮市,41685,11900
2021100000,2021年度,9202,栃木県 足利市,17776,2230
2021100000,2021年度,9203,栃木県 栃木市,33150,9630
2021100000,2021年度,9204,栃木県 佐野市,35604,4050
2021100000,2021年度,9205,栃木県 鹿沼市,49064,5450
2021100000,2021年度,9206,栃木県 日光市,144983,5420
2021100000,2021年度,9208,栃木県 小山市,17175,7730
2021100000,2021年度,9209,栃木県 真岡市,16734,7940
2021100000,2021年度,9210,栃木県 大田原市,35436,10900
2021100000,2021年度,9211,栃木県 矢板市,17046,2980
2021100000,2021年度,9213,栃木県 那須塩原市,59274,9530
2021100000,2021年度,9214,栃木県 さくら市,12563,5250
2021100000,2021年度,9215,栃木県 那須烏山市,17435,3690
2021100000,2021年度,9216,栃木県 下野市,7459,3790
2021100000,2021年度,9301,栃木県 上三川町,5439,2620
2021100000,2021年度,9342,栃木県 益子町,8940,2180
2021100000,2021年度,9343,栃木県 茂木町,17269,1890
2021100000,2021年度,9344,栃木県 市貝町,6425,1880
2021100000,2021年度,9345,栃木県 芳賀町,7016,3720
2021100000,2021年度,9361,栃木県 壬生町,6106,2760
2021100000,2021年度,9364,栃木県 野木町,3027,1160
2021100000,2021年度,9384,栃木県 塩谷町,17606,2710
