調査年 コード,調査年,地域 コード,地域,事業所数,事業所数（宿泊業、飲食サービス業）,農家数（販売農家）,標準財政規模,人口密度,65歳以上人口割合,第3次産業就業者比率
2020100000,2020年度,2406,青森県 横浜町,***,***,***,2162698,137.8,39.986,41.69
2020100000,2020年度,2408,青森県 東北町,***,***,***,6816553,143,38.349,52.46
2020100000,2020年度,2411,青森県 六ヶ所村,***,***,***,8363413,92.3,25.253,47.63
2020100000,2020年度,2412,青森県 おいらせ町,***,***,***,6675407,411.6,27.483,62.83
2020100000,2020年度,2423,青森県 大間町,***,***,***,2378221,329.5,36.265,52.11
2020100000,2020年度,2424,青森県 東通村,***,***,***,3589653,93.1,35.55,50.5
2020100000,2020年度,2425,青森県 風間浦村,***,***,***,1421227,300.7,46.271,60.68
2020100000,2020年度,2426,青森県 佐井村,***,***,***,1541025,107.1,47.987,52.1
2020100000,2020年度,2441,青森県 三戸町,***,***,***,4051024,168.7,41.654,50.93
2020100000,2020年度,2442,青森県 五戸町,***,***,***,6116903,188.7,40.313,52.84
2020100000,2020年度,2443,青森県 田子町,***,***,***,2915900,104.7,43.921,42.35
2020100000,2020年度,2445,青森県 南部町,***,***,***,6680495,220.7,40.008,54.93
2020100000,2020年度,2446,青森県 階上町,***,***,***,3844791,343.2,31.721,59.08
2020100000,2020年度,2450,青森県 新郷村,***,***,***,1880842,66,49.34,35.51
2020100000,2020年度,3201,岩手県 盛岡市,***,***,***,65017346,1224.8,27.624,81.02
2020100000,2020年度,3202,岩手県 宮古市,***,***,***,17578962,428.4,37.805,66.15
2020100000,2020年度,3203,岩手県 大船渡市,***,***,***,11326445,639.7,37.592,63.19
2020100000,2020年度,3205,岩手県 花巻市,***,***,***,28110405,288.2,34.585,60.31
2020100000,2020年度,3206,岩手県 北上市,***,***,***,22968915,457.8,27.125,56.18
2020100000,2020年度,3207,岩手県 久慈市,***,***,***,11561727,369.8,33.308,60.99
2020100000,2020年度,3208,岩手県 遠野市,***,***,***,10693298,178,40.539,50.98
2020100000,2020年度,3209,岩手県 一関市,***,***,***,40564503,233.7,36.903,57.02
2020100000,2020年度,3210,岩手県 陸前高田市,***,***,***,6695769,371.6,40.28,58.93
2020100000,2020年度,3211,岩手県 釜石市,***,***,***,10548393,622.3,39.834,64.25
2020100000,2020年度,3213,岩手県 二戸市,***,***,***,9799663,233.7,37.271,56.95
2020100000,2020年度,3214,岩手県 八幡平市,***,***,***,11771185,119.4,41.394,52.59
2020100000,2020年度,3215,岩手県 奥州市,***,***,***,34469365,252.2,35.415,56.6
2020100000,2020年度,3216,岩手県 滝沢市,***,***,***,10967465,626.2,25.484,71.95
