調査年 コード,調査年,地域 コード,地域,人口密度,65歳以上人口割合,標準財政規模,第1次産業就業者比率
2020100000,2020年度,27116,大阪府 大阪市 生野区,15210.2,29.227,-,0.11
2020100000,2020年度,27117,大阪府 大阪市 旭区,14188.3,29.688,-,0.12
2020100000,2020年度,27118,大阪府 大阪市 城東区,20172.2,25.208,-,0.06
2020100000,2020年度,27119,大阪府 大阪市 阿倍野区,18561,24.883,-,0.09
2020100000,2020年度,27120,大阪府 大阪市 住吉区,16282.6,27.339,-,0.21
2020100000,2020年度,27121,大阪府 大阪市 東住吉区,13112.7,28.542,-,0.17
2020100000,2020年度,27122,大阪府 大阪市 西成区,14397.7,36.538,-,0.09
2020100000,2020年度,27123,大阪府 大阪市 淀川区,14513,21.953,-,0.11
2020100000,2020年度,27124,大阪府 大阪市 鶴見区,13793.3,22.537,-,0.11
2020100000,2020年度,27125,大阪府 大阪市 住之江区,5806.2,30.406,-,0.09
2020100000,2020年度,27126,大阪府 大阪市 平野区,12575.4,27.811,-,0.22
2020100000,2020年度,27127,大阪府 大阪市 北区,13479.3,17.029,-,0.07
2020100000,2020年度,27128,大阪府 大阪市 中央区,11694,15.092,-,0.09
2020100000,2020年度,27140,大阪府 堺市,5666,28.219,224924396,0.47
2020100000,2020年度,27141,大阪府 堺市 堺区,6284.1,26.913,-,0.16
2020100000,2020年度,27142,大阪府 堺市 中区,6780.5,27.232,-,0.74
2020100000,2020年度,27143,大阪府 堺市 東区,8107.1,30.187,-,0.58
2020100000,2020年度,27144,大阪府 堺市 西区,4730.1,26.294,-,0.29
2020100000,2020年度,27145,大阪府 堺市 南区,3806,34.67,-,0.77
2020100000,2020年度,27146,大阪府 堺市 北区,10240.8,24.471,-,0.28
2020100000,2020年度,27147,大阪府 堺市 美原区,2850.9,31.204,-,1.14
2020100000,2020年度,27202,大阪府 岸和田市,3586.5,28.059,43061885,1.41
2020100000,2020年度,27203,大阪府 豊中市,11040.9,26.243,86710821,0.27
2020100000,2020年度,27204,大阪府 池田市,6324.9,26.465,22374810,0.86
2020100000,2020年度,27205,大阪府 吹田市,10797.2,22.955,75205927,0.18
2020100000,2020年度,27206,大阪府 泉大津市,5192.7,25.452,17272074,0.26
2020100000,2020年度,27207,大阪府 高槻市,6325.3,28.986,70358197,0.51
2020100000,2020年度,27208,大阪府 貝塚市,3225.5,27.253,18720072,1.5
2020100000,2020年度,27209,大阪府 守口市,11258.5,28.572,32011239,0.2
2020100000,2020年度,27210,大阪府 枚方市,6853.4,27.759,79524793,0.5
2020100000,2020年度,27211,大阪府 茨木市,6065.1,23.877,53448445,0.55
2020100000,2020年度,27212,大阪府 八尾市,7171.9,28.305,58505580,0.75
2020100000,2020年度,27213,大阪府 泉佐野市,2727.6,26.198,23556856,1.82
2020100000,2020年度,27214,大阪府 富田林市,2959.4,30.159,23452377,1.44
2020100000,2020年度,27215,大阪府 寝屋川市,9636.5,29.625,48152905,0.35
2020100000,2020年度,27216,大阪府 河内長野市,2784.6,35.417,21603013,1.13
2020100000,2020年度,27217,大阪府 松原市,7061.3,29.978,25302622,0.47
2020100000,2020年度,27218,大阪府 大東市,7726,26.348,24749858,0.23
