調査年 コード,調査年,地域 コード,地域,C3107_耕地面積【ｈａ】
2021100000,2021年度,10424,群馬県 長野原町,1240
2021100000,2021年度,10425,群馬県 嬬恋村,3990
2021100000,2021年度,10426,群馬県 草津町,90
2021100000,2021年度,10428,群馬県 高山村,507
2021100000,2021年度,10429,群馬県 東吾妻町,1740
2021100000,2021年度,10443,群馬県 片品村,657
2021100000,2021年度,10444,群馬県 川場村,493
2021100000,2021年度,10448,群馬県 昭和村,2350
2021100000,2021年度,10449,群馬県 みなかみ町,1650
2021100000,2021年度,10464,群馬県 玉村町,871
2021100000,2021年度,10521,群馬県 板倉町,2140
2021100000,2021年度,10522,群馬県 明和町,751
2021100000,2021年度,10523,群馬県 千代田町,912
2021100000,2021年度,10524,群馬県 大泉町,241
2021100000,2021年度,10525,群馬県 邑楽町,1450
2021100000,2021年度,11100,埼玉県 さいたま市,3150
2021100000,2021年度,11101,埼玉県 さいたま市 西区,-
2021100000,2021年度,11102,埼玉県 さいたま市 北区,-
2021100000,2021年度,11103,埼玉県 さいたま市 大宮区,-
2021100000,2021年度,11104,埼玉県 さいたま市 見沼区,-
2021100000,2021年度,11105,埼玉県 さいたま市 中央区,-
2021100000,2021年度,11106,埼玉県 さいたま市 桜区,-
2021100000,2021年度,11107,埼玉県 さいたま市 浦和区,-
2021100000,2021年度,11108,埼玉県 さいたま市 南区,-
2021100000,2021年度,11109,埼玉県 さいたま市 緑区,-
2021100000,2021年度,11110,埼玉県 さいたま市 岩槻区,-
2021100000,2021年度,11201,埼玉県 川越市,3220
2021100000,2021年度,11202,埼玉県 熊谷市,5630
2021100000,2021年度,11203,埼玉県 川口市,369
2021100000,2021年度,11206,埼玉県 行田市,3030
